name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;796;0;910;3051;1728;3051;1774;0
header;128;124;128;160;1759;160;1759;124
A;931;191;931;217;950;217;950;191
A;1560;518;1560;534;1569;534;1569;518
A;1460;556;1460;564;1471;564;1471;556
B;1243;564;1243;580;1251;580;1251;564
A;1603;789;1603;804;1612;804;1612;789
B;924;859;924;887;946;887;946;859
B;1719;1051;1719;1077;1754;1077;1754;1051
D;1439;1154;1439;1169;1448;1169;1448;1154
C;921;1606;921;1634;942;1634;942;1606
B;895;1888;895;1906;911;1906;911;1888
B;1429;2160;1429;2175;1437;2175;1437;2160
A;1604;2205;1604;2221;1613;2221;1613;2205
B;1081;2253;1081;2268;1090;2268;1090;2253
D;928;2270;928;2296;948;2296;948;2270
B;1112;2389;1112;2405;1121;2405;1121;2389
D;1095;2425;1095;2451;1125;2451;1125;2425
D;1069;2435;1069;2450;1077;2450;1077;2435
B;899;2480;899;2496;907;2496;907;2480
A;1541;2525;1541;2539;1549;2539;1549;2525
B;1502;2707;1502;2721;1510;2721;1510;2707
B;1171;2755;1171;2770;1178;2770;1178;2755
