name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;697;0;537;3051;1000;3051;1000;0
header;157;208;157;240;1780;240;1780;208
A;960;265;960;293;980;293;980;265
A;900;822;900;824;902;824;902;822
B;963;909;963;938;982;938;982;909
B;641;1150;641;1167;651;1167;651;1150
C;959;1573;959;1604;981;1604;981;1573
B;666;1880;666;1898;677;1898;677;1880
A;822;2065;822;2081;830;2081;830;2065
D;963;2238;963;2265;984;2265;984;2238
B;732;2292;732;2308;741;2308;741;2292
A;704;2337;704;2354;713;2354;713;2337
A;764;2942;764;2950;770;2950;770;2942
A;611;2993;611;2994;613;2994;613;2993
